orderId,dateAdded,dateUpdated,categories,primaryCategories,keys,menuPageURL,menus.amountMax,menus.amountMin,menus.dateSeen,menus.description,menus.name,priceRangeMin,priceRangeMax,restaurantId
1,2017-06-30T05:05:40Z,2019-05-01T15:43:09Z,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,us/ar/sherwood/4203ekiehlave/-1051391616,http://www.citysearch.com/profile/menu/1550074?singlePlatformId=shotgun-dans-pizza,7.98,7.98,"2018-05-01T04:25:37.197Z,2018-04-16T04:36:02.356Z,2018-02-15T19:58:01.612Z,2018-04-02T23:29:46.353Z,2018-06-28T11:37:25.942Z",,Cheese Pizza,0,25,R1
10,2016-04-01T06:35:24Z,2019-05-01T12:49:06Z,Pizza Place,Accommodation & Food Services,us/fl/tallahassee/4819kerryforestpkwy/879863405,,11.99,11.99,"2017-10-18T11:36:00.000Z,2018-01-22T20:32:19.131Z,2018-01-23T18:40:50.635Z,2018-01-19T14:26:11.458Z,2018-02-26T12:49:23.183Z,2017-12-16T17:11:00.000Z,2017-12-07T18:26:00.000Z,2018-01-23T01:58:02.250Z,2018-01-11T17:00:15.603Z,2017-10-26T12:05:00.000Z,2018-03-31T02:24:44.705Z",,Pizza,0,25,R10
100,2017-07-23T03:25:08Z,2019-04-28T10:14:10Z,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,us/la/alexandria/1260texasavesteh/-617173647,,5,5,"2018-01-20T22:57:49.572Z,2018-01-18T18:03:03.883Z,2018-01-19T07:34:44.477Z,2018-01-18T14:37:20.037Z",,Kids Cheese Pizza,0,25,R100
1000,2016-03-26T04:10:22Z,2019-04-14T07:20:40Z,"Italian Restaurant,Pizza Place",Accommodation & Food Services,us/tx/wylie/701nhighway78/852545700,,2.99,2.99,"2018-01-20T10:24:34.659Z,2018-01-19T14:06:00.482Z,2018-01-21T16:39:49.968Z,2018-01-20T01:03:22.348Z,2017-12-15T14:36:00.000Z,2017-12-11T17:25:00.000Z,2016-03-26T04:10:00.000Z,2016-06-08T16:21:00.000Z",,Pizza Boat,25,40,R100
10000,2015-10-23T01:57:27Z,2018-01-04T17:57:59Z,"Pizza Place,Restaurant,Fast Food,Pizza",Accommodation & Food Services,us/nv/lasvegas/7460wlakemeadblvd/330000776,http://www.singlepage.com/round-table-pizza-234,8.79,8.79,"2017-12-08T19:07:00.000Z,2017-10-28T22:35:00.000Z",,King Arthur's Supreme Pizza,0,25,R100
1001,2016-03-26T04:10:22Z,2019-04-14T07:20:40Z,"Italian Restaurant,Pizza Place",Accommodation & Food Services,us/tx/wylie/701nhighway78/852545700,,2.99,2.99,"2018-01-20T10:24:34.670Z,2018-01-19T14:06:00.497Z,2018-01-21T16:39:49.977Z,2018-01-20T01:03:22.358Z,2017-12-15T14:36:00.000Z,2017-12-11T17:25:00.000Z",,Personal Cheese Pizza,25,40,R100
1002,2015-10-19T15:33:32Z,2019-04-14T07:20:12Z,Pizza Place,Accommodation & Food Services,us/ne/sidney/82410thave/519249245,,5,5,2018-01-19T11:49:40.059Z,,Slice of Pizza,0,25,R100
1003,2015-10-19T15:33:32Z,2019-04-14T07:20:12Z,Pizza Place,Accommodation & Food Services,us/ne/sidney/82410thave/519249245,,5,5,2018-01-19T11:49:40.045Z,,Pizza Package,0,25,R100
1004,2015-10-19T15:33:32Z,2019-04-14T07:20:12Z,Pizza Place,Accommodation & Food Services,us/ne/sidney/82410thave/519249245,,8,8,2018-01-19T11:49:40.045Z,,Pizza & Pasta Package,0,25,R100
1005,2017-07-07T13:05:53Z,2019-04-14T07:20:11Z,"Italian Restaurant,Pizza Place",Accommodation & Food Services,us/pa/mechanicsburg/107wmainst/841020464,,6.29,6.29,"2018-02-14T09:38:41.515Z,2018-01-18T13:39:14.242Z,2018-01-19T17:26:14.770Z,2018-01-20T10:05:45.520Z,2018-01-22T01:56:29.309Z,2017-12-11T12:50:41.379Z,2017-12-21T02:22:34.378Z,2017-10-30T03:25:59.975Z",,Pizza Burger,0,25,R100
1006,2017-07-07T13:05:53Z,2019-04-14T07:20:11Z,"Italian Restaurant,Pizza Place",Accommodation & Food Services,us/pa/mechanicsburg/107wmainst/841020464,,1.98,1.98,"2018-02-14T09:38:41.530Z,2018-01-18T13:39:14.260Z,2018-01-19T17:26:14.809Z,2018-01-20T10:05:45.561Z,2018-01-22T01:56:29.332Z,2017-12-11T12:50:41.389Z,2017-12-21T02:22:34.412Z,2017-10-30T03:25:59.988Z",,Slice Cheese Pizza,0,25,R100
1007,2016-03-30T04:23:19Z,2019-04-14T07:19:46Z,Pizza Place,Accommodation & Food Services,us/nc/cary/2763nc55hwy/86433913,,16.99,16.99,"2017-04-10T07:48:08Z,2016-03-30T04:23:19Z",,The White Pizza,0,25,R100
1008,2016-03-30T04:23:19Z,2019-04-14T07:19:46Z,Pizza Place,Accommodation & Food Services,us/nc/cary/2763nc55hwy/86433913,,13.5,13.5,"2017-04-10T07:48:08Z,2016-03-30T04:23:19Z",Pick as many toppings as you like for the price of three. please select your pizza size,Pizza (create Your Own),0,25,R100
1009,2016-03-30T04:23:19Z,2019-04-14T07:19:46Z,Pizza Place,Accommodation & Food Services,us/nc/cary/2763nc55hwy/86433913,,19.99,19.99,"2017-04-10T07:48:08Z,2016-03-30T04:23:19Z","Feta cheese, fresh garlic, black olives, spinach and mozzarella cheese",The Greek Pizza,0,25,R936
101,2015-07-06T20:19:07Z,2019-04-28T09:55:03Z,"Pizza Place,Pizza Place Resort Corridor",Accommodation & Food Services,us/az/paradisevalley/8977nscottsdalerd/3446753,,15.95,15.95,"2016-03-28T05:36:00.000Z,2016-05-19T12:09:00.000Z",,Pizza Chef,25,40,R936
1010,2016-03-30T04:23:19Z,2019-04-14T07:19:46Z,Pizza Place,Accommodation & Food Services,us/nc/cary/2763nc55hwy/86433913,,2.25,2.25,"2017-04-10T07:48:08Z,2016-03-30T04:23:19Z",,Pizza Slices,0,25,R379
1011,2016-03-31T02:30:28Z,2019-04-14T07:19:32Z,Pizza Place,Accommodation & Food Services,us/ny/shruboak/1356emainst/-1573044853,,14,14,"2018-02-23T11:57:31.726Z,2018-02-18T18:32:07.828Z,2018-01-19T10:40:16.417Z,2017-12-20T16:54:35.932Z,2017-12-11T09:02:39.491Z,2016-03-31T02:30:28Z,2016-05-09T23:26:47Z",,Cheese Pizza,0,25,R785
1012,2016-03-31T02:30:28Z,2019-04-14T07:19:32Z,Pizza Place,Accommodation & Food Services,us/ny/shruboak/1356emainst/-1573044853,,20,20,"2016-03-31T02:30:28Z,2016-05-09T23:26:47Z",Any combination of six items with two layers of cheese topped with another layer of dough,Stuffed Pizza,0,25,R2117
1013,2015-10-20T03:24:13Z,2019-04-14T07:18:37Z,"Restaurant,Pizza Place",Accommodation & Food Services,us/ny/valleycottage/482kingshwy/-2064384703,,17.5,17.5,2018-02-01T16:11:14.233Z,,White Pizza Pie,0,25,R431
1014,2015-10-20T03:24:13Z,2019-04-14T07:18:37Z,"Restaurant,Pizza Place",Accommodation & Food Services,us/ny/valleycottage/482kingshwy/-2064384703,,19,19,2018-02-01T16:11:14.233Z,,White Pizza Pie with Sliced Tomato ampamp Fresh Garlic,0,25,R431
1015,2015-10-20T03:24:13Z,2019-04-14T07:18:37Z,"Restaurant,Pizza Place",Accommodation & Food Services,us/ny/valleycottage/482kingshwy/-2064384703,,18.5,18.5,2018-02-01T16:11:14.232Z,,Portobello Mushrooms Pizza,0,25,R431
1016,2015-09-13T02:53:02Z,2019-04-14T07:18:28Z,"Restaurant,Pizza Place",Accommodation & Food Services,us/ca/sealbeach/148mainst/-695527346,,10.5,10.5,"2018-02-12T19:07:43.771Z,2018-01-19T01:37:35.481Z,2018-01-14T18:40:46.709Z,2018-01-20T01:36:17.191Z",,Tuscan Mushroom Pizza,0,25,R209
1017,2015-09-13T02:53:02Z,2019-04-14T07:18:28Z,"Restaurant,Pizza Place",Accommodation & Food Services,us/ca/sealbeach/148mainst/-695527346,,9.95,9.95,"2018-02-12T19:07:43.770Z,2018-01-19T01:37:35.480Z,2018-01-14T18:40:46.709Z,2018-01-20T01:36:17.191Z",,Greek Pizza,0,25,R614
